THE_TE_UID,TERM,TERM_GD,POS_GD,KEYWORDS_GD,INDEX_TERM,SCOPE_NOTE,SCOPE_NOTE_GD,STATUS,ORIGIN,PROPOSED,WHEN_PROPOSED,ACCEPTED,DATE_ACCEPTED,COMMENTS,LIST_UID,ENTERED_DT,ENTERED_BY,UPDATED_DT,UPDATED_BY,SYNONYMS_GD
447,SCHOOLHOUSE,TAIGH-SGOILE,nm,"taigh-sgoile, tigh-sgoile, thaigh-sgoile, thigh-sgoile, taighe-sgoile, thaighe-sgoile, taighean-sgoile, tighean-sgoile, thaighean-sgoile, thighean-sgoile, taighean-sgoile, thaighean-sgoile",Y,"A dwelling attached to a school, usually occupied by a school teacher.","Àite-còmhnaidh a tha co-cheangailte ri sgoil, mar is trice bhiodh tidsear na sgoile a' fuireach ann.",Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
449,TERRACED HOUSE,TAIGH-BARRAID,nm,"taigh-barraide, taigh-barraid, thaigh-barraide, taigh-bharraide, thaigh-barraid, taigh-bharraid, taigh-bharraide, taigh-bharraid, thaigh-bharraide, thaigh-bharraid, thaigh-barraide, taighean-barraide, taighean-barraid, thaighean-barraide, thaighean-barraid, taighean-barraide, taighean-barraid, thaighean-barraide, thaighean-barraid",Y,A house in a line of houses attached to and adjoining one another and planned and built as one unit.,Taigh ann an sreath de thaighean a tha balla ri balla agus a chaidh a phlanadh 's a thogail mar aon aonad.,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
452,TOWN HOUSE,TAIGH-BAILE,nm,"taigh-baile, tigh-baile, thaigh-baile, thigh-baile, taigh-bhaile, tigh-bhaile, taigh-bhaile, tigh-bhaile, thaigh-bhaile, thigh-bhaile, thaigh-baile, taighean-baile, tighean-baile, thaighean-baile, thighean-baile, taighean-baile, tighean-baile, thaighean-baile, thighean-baile",Y,"An urban residence of a merchant or laird, either detached or in a terrace. For a building used for local administration use TOLBOOTH","Taigh-còmhnaidh ann am baile mòr aig marsanta no uachdaran, togalach fa leth no ann am barraid. Cleachd TOLL-BÙTHA airson togalach a tha ga chleachdadh a chum rianachd ionadail.",Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,20/04/2009 15:19,LEANNEM,
454,FERRYKEEPERS COTTAGE,TAIGH-AISEIG,nm,"taigh-aiseig, tigh-aiseig, thaigh-aiseig, thigh-aiseig, taigh-aiseig, thaigh-aiseig, thaigh-aiseig, taighean-aiseig, tighean-aiseig, thaighean-aiseig, tighean-aiseig, taighean-aiseig, tighean-aiseig, thaighean-aiseig, tighean-aiseig",Y,The residence of a ferrykeeper.,Taigh-còmhnaidh fear an aiseig,Y,Highland/EH,,,,,,1,03/07/2006 14:26,RC_THESAURUS,31/10/2006 14:29,LEANNEM,
455,LOCK KEEPERS COTTAGE,TAIGH FEAR AN TUIL-DHORAIS,,taigh fear an tuil-dhorais,Y,The residence of a canal lock-keeper.,Taigh-còmhnaidh fear an tuil-dhorais,Y,EH,,,,,,1,03/07/2006 14:26,RC_THESAURUS,27/09/2007 08:49,ANGELAG,
458,WHEELHOUSE,TAIGH-ROTHACH,nm,"taigh-rothach, tigh-rothach, thaigh-rothach, thigh-rothach, taigh-rothaich, tigh-rothaich, thaigh-rothaich, thigh-rothaich, thaigh-rothaich, taighean-rothach, tighean-rothach, thaighean-rothach, thighean-rothach, taighean-rothach, tighean-rothach, thaighean-rothach, thighean-rothach",Y,"A variant form of roundhouse, in which the roof was supported by internal stone piers radially disposed.",Nàdar de thaigh-cruinn aig an robh saidhean cloiche na bhroinn a' cumail taic ris a' mhullach 's iad ann an cruth rotha.,Y,RCAHMS,,,,,,1,03/07/2006 14:26,RC_THESAURUS,26/06/2007 12:04,ANGELAG,
459,HUT,BOTHAN,nm,"bothan, bhothan, bothain, bhothain, bhothain, bothain, bhothain, bothanan, bhothanan, bothanaibh, bhothanaibh, bothan, bhothan",Y,"A building of basic construction, usually smaller in size than a house and constructed from a variety of materials such as clay, turf, branches, wood, brick, concrete or metal. Use more specific type where known.","Togalach gu math bunasach, mar is trice nas lugha na taigh agus air a thogail de dhiofar rudan, a' gabhail a-steach criadha, sgrath, geugan, fiodh, bricean, concrait no meatailt. Cleachd briathar nas pongaile ma tha gin ann.",Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
462,ISLAND DWELLING,ÀITE-CÒMHNAIDH AIR EILEAN,,àite-còmhnaidh air eilean,Y,"A small, sometimes partly artificial, island with evidence of buildings and other structures related to domestic occupation, generally of medieval date.","Eilean beag, uaireannan fear a chaidh a thogail le mac an duine, agus fianais thogalaichean is structaran eile air a tha co-cheangailte ri còmhnaidh ann, mar is trice às na meadhan-aoisean.",Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
463,PALACE,LÙCHAIRT,nf,"lùchairt, lùchairt, lùchairte, lùchairtean, lùchairtibh, lùchairtean",Y,A building used as the official residence of royalty or of a high-ranking religious leader such as an Archbishop. Often large and richly furnished.,"Togalach a tha na àite-còmhnaidh oifigeach aig rìgh no neach-eaglais àrd-inbheach, can àrd-easbaig. Mòr agus air a sàr-sgeadachadh gu tric.",Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
464,BISHOPS PALACE,LÙCHAIRT EASBAIG,,lùchairt easbaig,Y,The ecclesiastical residence of the governor of diocese.,Àite-còmhnaidh oifigeach aig riaghlair na sgìre-easbaig.,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
465,ROYAL PALACE,LÙCHAIRT RÌOGHAIL,,lùchairt rìoghail,Y,"A large, luxuriously appointed house used as an official residence by a member of royalty.",Togalach mòr is air a shàr-sgeadachadh a tha ga chleachdadh mar àite-còmhnaidh oifigeach le ball de theaghlach rìoghail.,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
467,TENEMENT,TEANAMANT,nm,"teanamant, theanamant, teanamaint, theanamaint, theanamaint, teanamantan, theanamantan, teanamantaibh, theanamantaibh, teanamantan, theanamantan",Y,"A large building containing a number of rooms or flats, access to which is usually gained via a common stairway.",Togalach mòr sa bheil grunn sheòmraichean no fhlataichean a ruigear air staidhir choitcheann mar is trice.,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
468,TIMBER HALL,TALLA-FIODHA,nm,"talla-fiodha, talla-fiodh, thalla-fiodha, thalla-fiodh, talla-fhiodha, talla-fhiodh, talla-fiodha, thalla-fiodha, thalla-fiodha, tallachan-fiodha, tallachan-fiodh, thallachan-fiodha, thallachan-fiodh, tallachan-fiodha, tallachan-fiodh, thallachan-fiodha, thallachan-fiodh",Y,"A large, rectangular building of high status, constructed largely of wood.","Togalach mòr ceart-cheàrnach is àrd-inbheach, cuid mhòr dheth air a thogail de dh'fhiodh.",Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
106,GARDEN,GÀRRADH,nm,"gàrradh, gàradh, ghàrradh, ghàradh, gàrraidh, gàraidh, ghàrraidh, ghàraidh, ghàrraidh, ghàraidh, gàrraidhean, gàraidhean, ghàrraidhean, ghàraidhean, gàrraidhean, gàraidhean, ghàrraidhean, ghàraidhean, ghàrraidhean, ghàraidhean",Y,"An enclosed piece of ground devoted to the cultivation of flowers, fruit or vegetables and/or recreational purposes. Use more specific term where known.","Pìos talamhainn mun a bheil gàrradh-cloiche, balla no callaid far a bheilear a' toirt fàs air flùraichean, measan agus lusan no far am bithear a' sùgradh. Cleachd briathar nas pongaile ma tha tha gin ann.",Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
108,FORMAL GARDEN,GÀRRADH FOIRMEIL,,gàrradh foirmeil,Y,"A garden of regular, linear or geometrical design, often associated with the traditional Italian, French and Dutch styles.","Gàrradh dìreach riaghailteach ceàrnagach air dealbhadh geomatrach is bidh nòsan tradaiseanta Eadailteach, Frangach agus Duitseach air an siubhal.",Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
110,NURSERY GARDEN,LIOS-ÀRAICH,nm,"lios-àraich, lios-àraich, liosan-àraich, liosan-àraich",Y,"A horticultural site where trees, shrubs and plants are grown for sale and transplanting elsewhere.",Lios far a bheilear a' cur fàs air preasan is lusan eile gus an reic no gus an cur am badeigin eile.,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
113,GRANGE,GRAINNSEACH,nf,"grainnse, grainnseach, ghrainnse, ghrainnseach, grainnsich, ghrainnsich, grainnsich, ghrainnsich, ghrainnse, grainnsichean, ghrainnsichean, grainnseachaibh, ghrainnseachaibh",Y,"The residence and outbuildings of an outlying farm or estate, especially that held by a monastery or other religious order.","Taigh-còmhnaidh agus frith-thogalaichean aig tuathanas no oighreachd, gu h-àraid feadhainn a tha aig manachainn no òrd cràbhach.",Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
117,ORCHARD,LIOS-MHEAS,nm,"lios-mheas, liosa-mheas, liosan-mheas, liosan-mheas",Y,An enclosure used for the cultivation of fruit trees.,Gort far a bheilear a' toirt fàs air craobhan mheasan.,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
119,PLANTATION,PLANNTACHAS,nm,"planntachas, phlanntachas, planntachais, phlanntachais, phlanntachais, planntachasan, phlanntachasan, planntachasaibh, phlanntachasaibh, planntachasan, phlanntachasan, phlanntachasan, planntachadh, phlanntachadh, planntachaidh, phlanntachaidh, phlanntachaidh, planntachaidhean, phlanntachaidhean, planntachaidhean, phlanntachaidhean, planntachaidhean",Y,"A group of planted trees or shrubs, generally of uniform age and of a single species.","Badan de chraobhan no preasan a chaidh an cur ann, mar is trice dhen aon aois agus dhen aon ghnè.",Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,Yes
120,PLANTATION BANK,UCHDAN PLANNTACHAIS,,uchdan planntachais,Y,An earthen bank indicating the limit of a plantation.,Uchdan ùir a tha a' comharradh crìochan planntachais.,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
121,PLANTICRUB,CRÒ-PHLANNTRAIS,nm,"crò-phlanntrais, chrò-phlanntrais, cròtha-phlanntrais, chròtha-phlanntrais, chrò-phlanntrais, cròithean-planntrais, chròithean-planntrais, cròithean-planntrais, chròithean-planntrais",Y,"A small square, circular or rectangular enclosure used for growing root crops, usually without an entrance.","Lann bheag cheàrnagach, chruinn no cheart-cheàrnach far an toirear fàs air barr, mar is trice gun doras.",Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,01/12/2006 12:07,ANGELAG,
122,POLICIES,POILEASAIDHEAN,nmp,"poileasaidh, phoileasaidh, poileasaidh, phoileasaidh, phoileasaidh, poileasaidhean, phoileasaidhean, poileasaidhean, phoileasaidhean, phoileasaidhean",Y,The improved land surrounding a Scottish country house.,Am fearann leasaichte mun cuairt air taigh-dùthcha ann an Alba.,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
123,SHIELING,ÀIRIGH,nf,"àirigh, àiridh, àirigh, àirighe, àiridhe, àirighean, àiridhean, àirighibh, àiridhibh, àirighean",Y,Upland pasture to which animals were driven on a seasonal basis. For structures associated with shielings use SHIELING HUT.,Ionaltradh bràighe a chaidh crodh iomain ann a-rèir na ràithe. Cleachd BUAILTEACH airson structaran a tha co-cheangailte ri àirigh.,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
124,SMALLHOLDING,TAC BHEAG,,tac bheag,Y,A holding on a smaller scale than a farm.,Tac a tha nas lugha na tuathanas.,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
127,VILLA,VILLA,nm,villa,Y,"A term for a type of house, with varying definitions according to period. Georgian and later period villas were often detached town houses, whereas Roman villas were high-status and usually associated with a rural estate.",Ainm air diofar thaighean a-rèir na linne. Bhitheadh villas nan taighean-baile dealaichte gu tric ann an linn Rìgh Sheòrais agus às a dhèidh sinn ach ann an linn an Ròmanach bhitheadh villas nan taighean àrd-inbheach air an dùthaich aig an robh fearann a ghnàth.,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
128,MIDDEN,ÒTRACH,nm,"òtrach, òtraich, òtraichean, òtrachaibh, òtraichibh, òtraichean, òtraichean",Y,"A refuse heap, often associated with a building or settlement.","Dùnan sgudail, mar is trice co-cheangailte ri togalach no tuineachadh.",Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
129,SHELL MIDDEN,DÙNAN SHLIGEAN,,dùnan shligean,Y,A refuse heap of discarded shells.,Dùnan de shligean a chaidh a thilgeil air falbh.,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
130,PEAT CUTTING,POLL-MÒNACH,nm,"poll-mònach, pholl-mònach, pholl-mhònach, puill-mhònach, phuill-mhònach, puill-mhònach, phuill-mhònach, poll-mònach, pholl-mònach, poll-mòine, pholl-mòine, pholl-mhòine, puill-mhòine, phuill-mhòine, pholl-mòine, puill-mhòine, phuill-mhòine, poll-mòine, pholl-mòine",Y,A site or area where peat is cut for use as fuel.,Àite far a bheilear a' buain mòine a chum connaidh.,Y,RCAHMS,,,,,,1,03/07/2006 14:26,RC_THESAURUS,28/06/2007 09:03,ANGELAG,Yes
131,PEAT HAG,BAC-MÒINE,nm,"bac-mòine, bhac-mòine, bhac-mhòine, baca-mòine, bhaca-mòine, bhaca-mhòine, bacan-mòine, bhacan-mòine, bacan-mòine, bhacan-mòine",Y,Non-preferred term. Use PEAT CUTTING.,Dàrna roghainn a bhriathair. Cleachd POLL-MÒNACH na àite.,N,RCAHMS,Highland,,,,,1,03/07/2006 14:26,RC_THESAURUS,29/06/2007 11:08,LEANNEM,
132,PEN,BUAILE,nf,"buaile, bhuaile, buaile, buailidh, bhuaile, bhuailidh, buaile, bhuaile, bhuaile, buailtean, bhuailtean, buailibh, bhuailibh, buailtean, bhuailtean, bhuailtean",Y,"A small, open enclosure used for animals. Use more specific term where possible.",Lann bheag fhosgailte far an cumar beathaichean cruinn. Cleachd briathar nas pongaile ma tha gin ann.,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
133,LAMBING PEN,UAN-LANN,nf,"uan-lann, uan-lainn, uan-lainn, uan-lannan, uan-lannaibh",Y,A small enclosure where ewes are kept at lambing time.,Lann bheag far an cumar na caoraich-uain aig àm breith nan uan.,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
135,PILLOW MOUND,DRONNAG CHOINEANACH,,"dronnag choineanach, coineanach, coinean",Y,"An artificial mound used to farm rabbits. Usually flat-topped and rectangular, and often surrounded by a shallow ditch.",Druim beag a chaidh a thogail airson àrach choineanach. Mar is trice bhiodh iad cear-chèarnach le mullach rèidh orra agus dìg eu-domhain mun cuairt orra.,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
136,POTATO PIT,SLOC-BUNTÀTA,nm,"sloc-buntàta, shloc-buntàta, sloc-bhuntàta, sluic-bhuntàta, shluic-bhuntàta, shloc-buntàta, slocan-buntàta, shlocan-buntàta, slocan-buntàta, shlocan-buntàta",Y,A pit in which potatoes are stored.,Sloc far an stòrar buntàta.,Y,Highland,,,,,,1,03/07/2006 14:26,RC_THESAURUS,13/12/2006 11:44,ANGELAG,
137,POUND,PUNND,nm,"punnd, pùnnd, phunnd, phùnnd, puinnd, pùinnd, phuinnd, pùinnd, phuinnd, puinnd, phuinnd, punndaibh, phunndaibh, punnd, phunnd",Y,"A pen, often circular and stone-walled, for impounding livestock.","Crò, cruinn agus air a dhèanamh de chlachan gu tric, gus crodh a phunndadh ann.",Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,20/04/2007 11:39,LEANNEM,
138,SHEEP DIP,DUBADH-CHAORACH,nm,"dubadh-chaorach, dhubadh-chaorach, dubaidh-chaorach, dhubaidh-chaorach, dubaidhean-chaoraich, dhubaidhean-chaoraich, tumadh-chaorach, thumadh-chaorach, tumaidh-chaorach, thumaidh-chaorach, thumadh-chaoraich, tumaidhean-chaorach, thumaidhean-chaorach",Y,A place where sheep are washed to clean their wool and combat diseases and parasites.,Àite far an nighear na caoraich ach am bi a' chlòimh aca glan agus mar dhìon o thinneasan is parasaitean.,Y,EH,,,,,,1,03/07/2006 14:26,RC_THESAURUS,25/08/2010 13:56,ANGELAG,Yes
139,SHEEP SHELTER,FASGADH CHAORACH,,fasgadh chaorach,Y,"A structure or enclosure, usually in a remote or upland location, which provides shelter for sheep in severe weather conditions.","Dìon-àite no lann, mar is trice ann an àite iomallach no air bràigh, a bheir dìon do chaoraich ann an droch-aimsir.",Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
142,STACK YARD,IODHLANN,nf,"iodhlann, iothlann, iodhlainn, iothlainn, iodhlainn, iodhlainnean, iodhlannaibh, iodhlainnean, iolthainn, iolthainn, iolthainn, iolthainnean, iolthainnibh",Y,"A farmyard or enclosure containing regularly built stacks of hay, corn, peas etc.","Clobhsa no lann sa bheil cruachan dòigheil feòir, arbhair, pheasraichean is msaa.",Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,Yes
144,STOCK ENCLOSURE,BUAILE-CHRUIDH,nf,"buaile-chruidh, bhuaile-chruidh, buaile-chruidh, bhuaile-chruidh, buaile-chruidhe, bhuaile-chruidhe, bhuaile-chruidh, buailtean-cruidh, bhuailtean-cruidh",Y,An enclosure used to hold livestock.,Crò far an cumar crodh.,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
146,STORAGE PIT,SLOC-STÒRAS,nm,"sloc-stòrais, shloc-stòrais, sluic-stòrais, shluic-stòrais, shloc-stòrais, slocan-stòrais, shlocan-stòrais, slocan-stòrais, shlocan-stòrais",Y,"A pit in which meat, grain and other foodstuffs are stored.","Sloc san deach feòil, sìol no biadh eile a stòradh.",Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
147,GRAIN STORAGE PIT,SLOC-SÌL,nm,"sloc-sìl, shloc-sìl, sluic-shìl, shluic-shìl, shloc-sìl, slocan-sìl, shlocan-sìl, slocan-sìl, shlocan-sìl",Y,A pit in which grain is stored.,Sloc san deach sìol a stòradh.,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
149,TURF CUTTING,POLL-MÒNACH,nm,"poll-mònach, pholl-mònach, pholl-mhònach, puill-mhònach, phuill-mhònach, puill-mhònach, phuill-mhònach, poll-mònach, pholl-mònach, poll-mòine, pholl-mòine, pholl-mhòine, puill-mhòine, phuill-mhòine, pholl-mòine, puill-mhòine, phuill-mhòine, poll-mòine, pholl-mòine",Y,A site or area where turf is cut for use as fuel.,Àite far a bheilear a' buain mòine a chum connaidh.,Y,RCAHMS,,,,,,1,03/07/2006 14:26,RC_THESAURUS,28/06/2007 09:03,ANGELAG,
151,CIVIL,CATHARRA,bua,"catharra, chatharra",N,This is the top term for the class. See CIVIL Class List for narrow terms.,"Seo am briathar as àirde sa chlas. Faic liosta a' chlas ""CATHARRA"" airson briathran nas pongaile.",Y,EH,,,,,,1,03/07/2006 14:26,RC_THESAURUS,18/07/2007 08:12,ANGELAG,
152,AMBULANCE STATION,STÈISEAN NAN CARBADAN-EIRIDINN,,"stèisean nan carbadan-eiridinn, stèisean charbadan-eiridinn",Y,A building where ambulances are housed whilst awaiting emergency calls.,Togalach far an cumar carbadan-eiridinn fhad 's a bhios iad a' feitheamh ri gairm èiginn.,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
154,COASTGUARD STATION,STÈISEAN NAM MAOR-CLADAICH,,"stèisean nam maor-cladaich, stèisean mhaor-cladaich",Y,"A building or group of buildings situated close to the sea, used by coastguards to enable them to monitor the coastline.",Togalach no badan de thogalaichean faisg air a' mhuir. Bidh na maoir-chladaich gan cleachdadh gus sùil a chumair air a' chladach.,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
155,COMMUNITY CENTRE,IONAD-COIMHEARSNACHD,nm,"ionad-coimhearsnachd, ionad-choimhearsnachd, ionaid-choimhearsnachd, ionadan-coimhearsnachd, ionadan-coimhearsnachd",Y,"A place providing social, recreational, and educational facilities for a neighbourhood.",Àite a sholaireas goireasan sòisealta 's foghlaim agus cur-seachdadan dhan choimhearsnachd sa bheil e.,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
156,COUNTY BUILDING,TAIGH NA SGÌRE,,taigh na sgìre,Y,"A building containing the local administrative, judicial and political authorities.",Taigh sa bheil an rianachd ionadail agus na h-ùghdarrasan laghail 's poileataigeach.,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,14/05/2007 14:36,LEANNEM,
157,LOCAL GOVERNMENT OFFICE,OIFIS AN RIAGHALTAIS IONADAIL,,oifis an riaghaltais ionadail,Y,A building which houses the administrative functions of a local authority.,Togalach sa bheilear ri obair rianachd ann an ùghdarras ionadail.,Y,,,,,,,1,03/07/2006 14:26,RC_THESAURUS,,,
